max schd: 0.534012, max dp: 0.002628, max job: 267
Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),cold_count,wave,gpu_usg,n_avg,round_out,#shuffle,locality(content),iq_ignore,dist_expand,unlucky_expand,lucky_expand,lucky_shrink,model,gpu_req,k_val,rank_irt,ideal_run_time,ooit_inc_p_gpu
Job1,0,0,264125,264125,1.00002,1.00002,1.00002,1.15278,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,BERTLARGE,1,128,9788,264120,1
Job2,600000,600000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12456,351696,1
Job3,1117000,1117000,103702,103702,1.00029,1.00029,1.00029,3.61684,1,1,1,1,1,2,1.19963,0,1,1,0,0,0,0,0,ResNeXt,2,16,345,103672,0.5
Job4,1200000,1200000,136644,136644,1.00015,1.00015,1.00015,2.05097,1,1,1,1,1,1,1.1515,0,1,1,0,0,0,0,0,VGG19,1,32,1552,136624,1
Job5,1801000,1801000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,6995,211944,1
Job6,2400000,2400000,158289,158289,1.00036,1.00036,1.00036,1.90178,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNeXt,1,32,2363,158232,1
Job7,3001000,3001000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12453,351696,1
Job8,3601000,3601000,215507,215507,1.00009,1.00009,1.00009,2.2569,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GNMT,1,64,7578,215488,1
Job9,4201000,4201000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,6347,211944,1
Job10,4800000,4800000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12452,351696,1
Job11,5401000,5401000,169966,169966,1.00018,1.00018,1.00018,1.70075,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,VGG19,1,32,4683,169936,1
Job12,6000000,6000000,169966,169966,1.00018,1.00018,1.00018,1.70075,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,VGG19,1,32,4680,169936,1
Job13,6600000,6600000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,5823,211944,1
Job14,7200000,7200000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12451,351696,1
Job15,7801000,7801000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,6251,211944,1
Job16,8400000,8400000,169966,169966,1.00018,1.00018,1.00018,1.70075,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,VGG19,1,32,4509,169936,1
Job17,9001000,9001000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12449,351696,1
Job18,9601000,9601000,158289,158289,1.00036,1.00036,1.00036,1.90178,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNeXt,1,32,2364,158232,1
Job19,10200000,10200000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12448,351696,1
Job20,10800000,10800000,215507,215507,1.00009,1.00009,1.00009,2.2569,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GNMT,1,64,7882,215488,1
Job21,11401000,11401000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12446,351696,1
Job22,12000000,12000000,264125,264125,1.00002,1.00002,1.00002,1.15278,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,BERTLARGE,1,128,9552,264120,1
Job23,12601000,12601000,158289,158289,1.00036,1.00036,1.00036,1.90178,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNeXt,1,32,2366,158232,1
Job24,13201000,13201000,215507,215507,1.00009,1.00009,1.00009,2.2569,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GNMT,1,64,7919,215488,1
Job25,13800000,13800000,158289,158289,1.00036,1.00036,1.00036,1.90178,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNeXt,1,32,2367,158232,1
Job26,14401000,14401000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,6176,211944,1
Job27,15001000,15001000,264125,264125,1.00002,1.00002,1.00002,1.15278,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,BERTLARGE,1,128,9482,264120,1
Job28,15600000,15600000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,5754,211944,1
Job29,16201000,16201000,351914,351914,1.00062,1.00062,1.00062,1.10771,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,GPT2_SMALL,1,256,12440,351696,1
Job30,16800000,16800000,211966,211966,1.0001,1.0001,1.0001,1.4425,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNet50,1,128,5673,211944,1
Job31,17401000,17401000,158289,158289,1.00036,1.00036,1.00036,1.90178,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,ResNeXt,1,32,2368,158232,1
